code,name,req,score,row
K48304,商洛学院第04组,生,477,K48304 | 商洛学院第04组 | 生 | 477 | 181 | 100 | 106 | 45 | 79 | 66 | 3 | 护理类
K48402,安康学院第02组,化,477,K48402 | 安康学院第02组 | 化 | 477 | 197 | 103 | 86 | 58 | 71 | 65 | 13
K48502,西安财经大学第02组,个限,541,K48502 | 西安财经大学第02组 | 个限 | 541 | 203 | 114 | 121 | 69 | 74 | 74
K48503,西安财经大学第03组,化,547,K48503 | 西安财经大学第03组 | 化 | 547 | 212 | 119 | 102 | 75 | 82 | 76 | 8
K48504,西安财经大学第04组,不限,515,K48504 | 西安财经大学第04组 | 不限 | 515 | 210 | 112 | 107 | 45 | 78 | 75
K48602,西安邮电大学第02组,不限,581,K48602 | 西安邮电大学第02组 | 不限 | 581 | 229 | 116 | 131 | 52 | 87 | 82 | 8
K48603,西安邮电大学第03组,化,584,K48603 | 西安邮电大学第03组 | 化 | 584 | 241 | 138 | 105 | 73 | 84 | 81 | 9
K48604,西安邮电大学第04组,化,574,K48604 | 西安邮电大学第04组 | 化 | 574 | 211 | 106 | 125 | 71 | 84 | 83 | 8
K48605,西安邮电大学第05组,化,578,K48605 | 西安邮电大学第05组 | 化 | 578 | 211 | 109 | 127 | 69 | 88 | 83 | 6
K48702,西安航空学院第02组,化,523,K48702 | 西安航空学院第02组 | 化 | 523 | 218 | 109 | 77 | 59 | 89 | 80 | 2
K48703,西安航空学院第03组,化,497,K48703 | 西安航空学院第03组 | 化 | 497 | 212 | 118 | 97 | 51 | 75 | 62 | 3
K48704,西安航空学院第04组,化,506,K48704 | 西安航空学院第04组 | 化 | 506 | 201 | 101 | 119 | 50 | 73 | 63 | 12
K48803,西安医学院第03组,不限,517,K48803 | 西安医学院第03组 | 不限 | 517 | 197 | 99 | 120 | 34 | 89 | 77 | 13
K48804,西安医学院第04组,化,507,K48804 | 西安医学院第04组 | 化 | 507 | 206 | 111 | 103 | 48 | 80 | 70
K48805,西安医学院第05组,化,496,K48805 | 西安医学院第05组 | 化 | 496 | 196 | 104 | 86 | 62 | 81 | 71
K48806,西安医学院第06组,化和生,554,K48806 | 西安医学院第06组 | 化和生 | 554 | 207 | 109 | 127 | 64 | 83 | 73 | 8
K48807,西安医学院第07组,生,522,K48807 | 西安医学院第07组 | 生 | 522 | 209 | 105 | 110 | 49 | 82 | 72 | 14 | 护理类
K48902,陕西学前师范学院第02组,不限,478,K48902 | 陕西学前师范学院第02组 | 不限 | 478 | 185 | 98 | 103 | 44 | 74 | 72 | 5
K48903,陕西学前师范学院第03组,化,480,K48903 | 陕西学前师范学院第03组 | 化 | 480 | 194 | 102 | 111 | 29 | 74 | 72 | 4
K51902,西安培华学院第02组,不限,445,K51902 | 西安培华学院第02组 | 不限 | 445 | 179 | 91 | 97 | 37 | 68 | 64 | 2
K51903,西安培华学院第03组,化,458,K51903 | 西安培华学院第03组 | 化 | 458 | 169 | 90 | 78 | 62 | 75 | 74 | 11
