page,code,name,req,score,语数之和,语数最高,外语,物理,再选最高,再选次高,志愿号,备注,row
37,H00204,浙江工业大学第04组,不限,566,206,109,122,78,82,78,B4,国家专项计划,H00204 | 浙江工业大学第04组 | 不限 | 566 | 206 | 109 | 122 | 78 | 82 | 78 | B4 | 国家专项计划
37,H00205,浙江工业大学第05组,化,596,221,118,141,公71,82,S81,21,,H00205 | 浙江工业大学第05组 | 化 | 596 | 221 | 118 | 141 | 公71 | 82 | S81 | 21
37,H00206,浙江工业大学第06组,化,573,214,110,办110,77,87,Z75,11,国家专项计划,H00206 | 浙江工业大学第06组 | 化 | 573 | 214 | 110 | 办110 | 77 | 87 | Z75 | 11 | 国家专项计划
37,H00302,浙江理工大学第02组,不限,593,209,107,130,92,S85,77,10,,H00302 | 浙江理工大学第02组 | 不限 | 593 | 209 | 107 | 130 | 92 | S85 | 77 | 10
37,H00303,浙江理工大学第03组,不限,581,230,会116,131,B64,78,78,8,国家专项计划,H00303 | 浙江理工大学第03组 | 不限 | 581 | 230 | 会116 | 131 | B64 | 78 | 78 | 8 | 国家专项计划
37,H00304,浙江理工大学第04组,化,578,员219,114,130,H68,83,78,14,,H00304 | 浙江理工大学第04组 | 化 | 578 | 员219 | 114 | 130 | H68 | 83 | 78 | 14
37,H00305,浙江理工大学第05组,化,566,215,108,【118,79,83,71,11,国家专项计划,H00305 | 浙江理工大学第05组 | 化 | 566 | 215 | 108 | 【118 | 79 | 83 | 71 | 11 | 国家专项计划
37,H00401,浙江海洋大学第01组,不限,544,205,】116,81,87,86,85,6,,H00401 | 浙江海洋大学第01组 | 不限 | 544 | 205 | 】116 | 81 | 87 | 86 | 85 | 6
37,H00402,浙江海洋大学第02组,生不限,535,办194,106,117,71,78,75,5,,H00402 | 浙江海洋大学第02组 | 生不限 | 535 | 办194 | 106 | 117 | 71 | 78 | 75 | 5
37,H00403,浙江海洋大学第03组,招不限,534,202,104,99,72,90,71,7,护理类,H00403 | 浙江海洋大学第03组 | 招不限 | 534 | 202 | 104 | 99 | 72 | 90 | 71 | 7 | 护理类
37,H00502,学浙江农林大学第02组,不限,567,207,122,127,72,88,73,4,,H00502 | 学浙江农林大学第02组 | 不限 | 567 | 207 | 122 | 127 | 72 | 88 | 73 | 4
37,H00503,浙江农林大学第03组,北化,566,213,108,125,76,78,74,4,,H00503 | 浙江农林大学第03组 | 北化 | 566 | 213 | 108 | 125 | 76 | 78 | 74 | 4
37,H00504,等湖浙江农林大学第04组,化或生,538,197,108,130,45,88,78,11,国家专项计划,H00504 | 等湖浙江农林大学第04组 | 化或生 | 538 | 197 | 108 | 130 | 45 | 88 | 78 | 11 | 国家专项计划
37,H00601,高温州医科大学第01组,化或生,609,253,132,118,73,85,80,1,,H00601 | 高温州医科大学第01组 | 化或生 | 609 | 253 | 132 | 118 | 73 | 85 | 80 | 1
37,H00703,【浙江中医药大学第03组,不限,577,216,110,134,70,85,72,12,,H00703 | 【浙江中医药大学第03组 | 不限 | 577 | 216 | 110 | 134 | 70 | 85 | 72 | 12
37,H00704,省号浙江中医药大学第04组,化,584,223,113,113,78,88,82,17,,H00704 | 省号浙江中医药大学第04组 | 化 | 584 | 223 | 113 | 113 | 78 | 88 | 82 | 17
37,H00705,北浙江中医药大学第05组,化或生,586,222,117,126,71,86,81,13,,H00705 | 北浙江中医药大学第05组 | 化或生 | 586 | 222 | 117 | 126 | 71 | 86 | 81 | 13
37,H00802,众浙江师范大学第02组,不限,587,230,117,117,66,89,85,13,,H00802 | 众浙江师范大学第02组 | 不限 | 587 | 230 | 117 | 117 | 66 | 89 | 85 | 13
37,H00803,湖公浙江师范大学第03组,化,573,224,121,116,64,87,82,1,,H00803 | 湖公浙江师范大学第03组 | 化 | 573 | 224 | 121 | 116 | 64 | 87 | 82 | 1
37,H00902,杭州师范大学第02组,不限,578,214,116,116,76,88,84,34,,H00902 | 杭州师范大学第02组 | 不限 | 578 | 214 | 116 | 116 | 76 | 88 | 84 | 34
37,H01003,信湖州师范学院第03组,不限,504,190,109,111,32,88,73,11,少数民族预科班,H01003 | 信湖州师范学院第03组 | 不限 | 504 | 190 | 109 | 111 | 32 | 88 | 73 | 11 | 少数民族预科班
37,H01004,湖州师范学院第04组,不限,506,210,119,76,64,78,78,10,,H01004 | 湖州师范学院第04组 | 不限 | 506 | 210 | 119 | 76 | 64 | 78 | 78 | 10
37,H01005,微湖州师范学院第05组,化或生,539,220,112,124,46,75,74,1,,H01005 | 微湖州师范学院第05组 | 化或生 | 539 | 220 | 112 | 124 | 46 | 75 | 74 | 1
37,H01102,绍兴文理学院第02组,不限,500,189,103,92,66,84,69,5,,H01102 | 绍兴文理学院第02组 | 不限 | 500 | 189 | 103 | 92 | 66 | 84 | 69 | 5
37,H01202,台州学院第02组,不限,507,200,102,63,72,86,86,1,,H01202 | 台州学院第02组 | 不限 | 507 | 200 | 102 | 63 | 72 | 86 | 86 | 1
37,H01203,台州学院第03组,化,503,195,98,94,59,78,77,3,,H01203 | 台州学院第03组 | 化 | 503 | 195 | 98 | 94 | 59 | 78 | 77 | 3
37,H01303,温州大学第03组,不限,553,197,99,113,77,83,83,1,,H01303 | 温州大学第03组 | 不限 | 553 | 197 | 99 | 113 | 77 | 83 | 83 | 1
37,H01304,温州大学第04组,不限,539,199,105,105,67,87,81,8,,H01304 | 温州大学第04组 | 不限 | 539 | 199 | 105 | 105 | 67 | 87 | 81 | 8
37,H01305,温州大学第05组,化,544,213,114,101,85,81,64,11,,H01305 | 温州大学第05组 | 化 | 544 | 213 | 114 | 101 | 85 | 81 | 64 | 11
37,H01306,温州大学第06组,化或生,551,211,111,112,69,88,71,2,,H01306 | 温州大学第06组 | 化或生 | 551 | 211 | 111 | 112 | 69 | 88 | 71 | 2
37,H01403,丽水学院第03组,不限,476,181,101,86,42,81,76,8,少数民族预科班,H01403 | 丽水学院第03组 | 不限 | 476 | 181 | 101 | 86 | 42 | 81 | 76 | 8 | 少数民族预科班
37,H01404,丽水学院第04组,不限,514,200,106,101,61,81,71,5,,H01404 | 丽水学院第04组 | 不限 | 514 | 200 | 106 | 101 | 61 | 81 | 71 | 5
37,H01405,丽水学院第05组,化,494,179,104,84,58,83,80,6,,H01405 | 丽水学院第05组 | 化 | 494 | 179 | 104 | 84 | 58 | 83 | 80 | 6
38,H01406,丽水学院第06组,化或生,495,207,104,102,41,76,69,4,,H01406 | 丽水学院第06组 | 化或生 | 495 | 207 | 104 | 102 | 41 | 76 | 69 | 4
38,H01502,浙江工商大学第02组,不限,583,220,117,134,71,82,76,5,,H01502 | 浙江工商大学第02组 | 不限 | 583 | 220 | 117 | 134 | 71 | 82 | 76 | 5
38,H01503,浙江工商大学第03组,不限,553,196,102,106,80,93,68,19,国家专项计划,H01503 | 浙江工商大学第03组 | 不限 | 553 | 196 | 102 | 106 | 80 | 93 | 68 | 19 | 国家专项计划
38,H01602,嘉兴学院第02组,不限,528,214,111,96,49,86,83,1,,H01602 | 嘉兴学院第02组 | 不限 | 528 | 214 | 111 | 96 | 49 | 86 | 83 | 1
38,H01603,嘉兴学院第03组,不限,507,215,111,61,70,79,72,6,少数民族预科班,H01603 | 嘉兴学院第03组 | 不限 | 507 | 215 | 111 | 61 | 70 | 79 | 72 | 6 | 少数民族预科班
38,H01604,嘉兴学院第04组,化或生,526,199,107,65,87,89,86,2,,H01604 | 嘉兴学院第04组 | 化或生 | 526 | 199 | 107 | 65 | 87 | 89 | 86 | 2
38,H01802,中国计量大学第02组,不限,589,227,122,119,74,86,83,4,,H01802 | 中国计量大学第02组 | 不限 | 589 | 227 | 122 | 119 | 74 | 86 | 83 | 4
38,H01803,中国计量大学第03组,不限,593,209,115,134,75,89,86,10,,H01803 | 中国计量大学第03组 | 不限 | 593 | 209 | 115 | 134 | 75 | 89 | 86 | 10
38,H01804,中国计量大学第04组,化,592,215,113,114,80,室92,91,】27,,H01804 | 中国计量大学第04组 | 化 | 592 | 215 | 113 | 114 | 80 | 室92 | 91 | 】27
38,H01805,中国计量大学第05组,化,587,243,127,98,73,88,85,B7,,H01805 | 中国计量大学第05组 | 化 | 587 | 243 | 127 | 98 | 73 | 88 | 85 | B7
38,H01902,浙江万里学院第02组,不限,498,178,99,113,公54,77,S76,15,,H01902 | 浙江万里学院第02组 | 不限 | 498 | 178 | 99 | 113 | 公54 | 77 | S76 | 15
38,H02002,浙江科技学院第02组,不限,501,191,100,办89,64,74,Z73,2,少数民族预科班,H02002 | 浙江科技学院第02组 | 不限 | 501 | 191 | 100 | 办89 | 64 | 74 | Z73 | 2 | 少数民族预科班
38,H02003,浙江科技学院第03组,不限,523,218,112,90,56,S83,76,8,,H02003 | 浙江科技学院第03组 | 不限 | 523 | 218 | 112 | 90 | 56 | S83 | 76 | 8
