学校名称,原始PDF,页码,PDF表格行号,招生学院OCR,专业名称OCR,专业名称,专业OCR置信度,专业名称校正说明,科类OCR,科类,科类OCR置信度,总计划数,湖北计划数,湖北列索引,PDF行上边界,PDF行下边界,纳入湖北物理类匹配表,提取方法,抽取说明
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,46,,信用风城管理与法佳力吃,信用风险管理与法律防控,0.300,Apple Vision 对小字误识；已按PDF裁图人工复核校正。,文史类,历史,1.000,30,1,13,451.440,457.560,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,Apple Vision 对小字误识；已按PDF裁图人工复核校正。
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,47,人文与传播学,汉语言文学,汉语言文学,1.000,,文史类,历史,0.500,100,2,13,457.560,463.738,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,48,,编辑出版学,编辑出版学,0.500,,文史类,历史,0.500,100,3,13,463.738,469.913,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,49,,朝鲜语,朝鲜语,1.000,,文史类,历史,1.000,30,1,13,469.913,475.920,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,50,,商务英语,商务英语,1.000,,文史类,历史,1.000,60,1,13,475.920,482.098,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,51,外国语学院,翻译,翻译,1.000,,文史类,历史,1.000,60,1,13,482.098,488.218,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,52,,英语,英语,0.500,,文史类,历史,1.000,30,1,13,488.218,494.334,否,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,53,,数学与应用数学,数学与应用数学,1.000,,理工类,物理,0.500,50,2,13,494.334,500.458,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,54,数学与信息科学学院,数据科学与大数据技术,数据科学与大数据技术,1.000,,理工类,物理,0.500,100,1,13,500.458,506.578,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,55,,数据计算及应用,数据计算及应用,1.000,,理工类,物理,0.500,50,2,13,506.578,512.750,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,56,,电子信息工程,电子信息工程,1.000,,理工类,物理,0.500,100,2,13,512.750,518.800,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,57,,通信工程,通信工程,1.000,,理工类,物理,0.300,50,1,13,518.800,524.880,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,58,信息与电子工,电气工程及其自动化,电气工程及其自动化,1.000,,理工类,物理,0.500,100,2,13,524.880,531.000,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,59,程学院,自动化,自动化,1.000,,理工类,物理,0.300,100,3,13,531.000,537.120,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,60,,集成电路设计与集成系统,集成电路设计与集成系统,1.000,,理工类,物理,0.500,50,3,13,537.120,543.240,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,61,,电子科学与技术,电子科学与技术,1.000,,理工类,物理,0.300,50,3,13,543.240,549.387,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,62,,计算机科学与技术,计算机科学与技术,1.000,,理工类,物理,0.500,200,3,13,549.387,555.538,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,63,计算机科学与-技术学院,数字媒体技术,数字媒体技术,1.000,,理工类,物理,0.500,50,2,13,555.538,561.658,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
山东工商学院,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,1,64,,人工智能,人工智能,1.000,,理工类,物理,0.500,100,3,13,561.658,567.778,是,pdf_grid_numbers_plus_apple_vision_ocr_major_column,
