学校名称,官网入口页,原始PDF,页码,PDF_SHA256,入口页SHA256,PDF_URL,官网入口URL,PDF表格行号,行类型,科类,专业代码OCR,专业名称,总计划数,湖北计划数读数,湖北列索引,湖北格bbox_px,湖北格深色像素数,纳入湖北物理类匹配表,审计说明
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,36,物理类专业,物理,081001H,土木工程（中外合作办学）,62,6,15,"1622,1558,1662,1594",64,是,中外合作办学，家庭预算默认不进入主方案，只作字段核验。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,37,物理类专业,物理,081008,智能建造,53,3,15,"1622,1594,1662,1630",50,是,
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,40,物理类专业,物理,0827,食品科学与工程类,61,6,15,"1622,1702,1662,1738",64,是,
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,43,物理类专业,物理,082901,安全工程,31,3,15,"1622,1809,1662,1845",45,是,
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,46,物理类专业,物理,1201,管理科学与工程类,35,3,15,"1622,1917,1662,1953",45,是,该格位于湖北列；建筑学行湖北列为空，需避免相邻列误读。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,22,重点空格审计,物理,080902H,软件工程（中外合作办学）,28,,15,"1622,1343,1662,1379",0,否,湖北列为空，不进入湖北物理类匹配表。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,23,重点空格审计,物理,080906H,数字媒体技术（中外合作办学）,22,,15,"1622,1379,1662,1415",0,否,湖北列为空；不能把该中外合作专业作为湖北物理类计划证据。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,38,重点空格审计,物理,0813,化工与制药类（化学工程类）,138,,15,"1622,1630,1662,1666",0,否,湖北列为空。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,41,重点空格审计,物理,082801,建筑学,16,,15,"1622,1738,1662,1774",0,否,湖北列为空；相邻列有数值，需避免错读为湖北计划。
浙江工业大学,data/external/issue19-b0-b1-official-sources/zjut-2026-plan-page.html,data/external/issue19-b0-b1-official-sources/zjut-2026-province-major-plan.pdf,1,bc9bd03c622b3c1944b5d75c430de28f8e5a1fe111052f93b75eb6daa1c7e495,4091ae4fd9737e6e092648971a038244571b74fbe8f2cb6fcdb6b9d66e60895e,https://zs.zjut.edu.cn/ueditor/jsp/upload/file/20260618/1781777775637059419.pdf,https://zs.zjut.edu.cn/html/n2569.html,49,物理类小计,,,理工/物理类小计,1561,48,15,"1622,2025,1662,2055",184,否,湖北物理类小计，必须等于纳入匹配表的物理类专业计划数合计。
