来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,专业组标题OCR原文,来源页码,版面列,专业组标题行号,OCR专业行数_组表,专业明细行数_专业表,专业行数是否一致,规范化专业组代码是否重复,规范化专业组代码重复行数,唯一专业代号数,空专业代号数,相对质量层级,复核优先级,优先级原因代码,优先级原因说明,组字段完整性标记,结构异常数,高严重结构异常数,中严重结构异常数,结构异常规则ID列表,结构异常类型列表,字段完整性问题数,缺再选科目专业数,缺计划数专业数,缺学费专业数,非纯数字计划数专业数,计划数>=1000专业数,非纯数字学费专业数,学费<=500专业数,学费超过预算专业数,异常学费专业数,偏好专业命中数,偏好方向列表,硬风险命中,硬风险类型列表,候选池V1命中,样本学校命中,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,A004,北京交通大学,A00411,11,A00411/北京交通大学第11组,11,right,176,1,1,是,否,1,1,0,Q4-结构相对完整待抽检,P0-必须优先核页,P0-必须优先核页,命中风险标签,plan_count_not_plain_number;tuition_over_15000,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,,是,中外合作或高收费；学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,A004,北京交通大学,A00412,12,A00412/北京交通大学第12组,11,right,182,1,1,是,否,1,1,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常1条；字段完整性/纯数字问题1项；命中风险标签,missing_subject_candidate;plan_count_not_plain_number,1,1,0,major_text_embeds_other_school_marker,专业名称疑似串入下一院校,1,1,0,0,0,0,0,0,0,0,0,,是,中外合作或高收费；专项/预科/定向等特殊类型,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,A006,北京航空航天大学,A00603,03,A00603/北京航空航天大学第 03 组,11,right,194,10,10,是,否,1,10,0,Q2-重点候选字段待核,P0-必须优先核页,P0-必须优先核页,中严重度结构异常1条；字段完整性/纯数字问题11项；命中当前偏好专业方向；命中风险标签,plan_count_not_plain_number;tuition_not_plain_number,1,0,1,low_ocr_confidence,OCR置信度低,11,8,1,0,1,0,0,0,0,0,4,计算机类相关,是,体检或色觉限制；医学/护理等排除方向,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,A006,北京航空航天大学,A00604,04,A00604北京航空航天大学第 04 组,12,left,38,1,1,是,否,1,1,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常1条；字段完整性/纯数字问题2项；异常学费1项；命中风险标签,missing_plan_count_candidate;tuition_not_plain_number;tuition_over_15000,1,1,0,tuition_number_le_500,学费数字疑似吞入计划数或截断,2,0,1,0,1,0,0,1,0,1,0,,是,中外合作或高收费；学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,A006,北京航空航天大学,A00605,05,A00605 北京航空航天大学第05组,12,left,47,1,1,是,否,1,1,0,Q2-重点候选字段待核,P0-必须优先核页,P0-必须优先核页,字段完整性/纯数字问题2项；命中当前偏好专业方向；命中风险标签,tuition_not_plain_number;tuition_over_15000,0,0,0,,,2,0,1,0,1,0,0,0,1,0,1,计算机类相关,是,中外合作或高收费；学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,A006,北京航空航天大学,A00606,06,A00606北京航空航天大学第06组,12,left,55,2,2,是,否,1,2,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常1条；中严重度结构异常1条；字段完整性/纯数字问题7项；命中风险标签,missing_subject_candidate;plan_count_not_plain_number;tuition_not_plain_number,2,1,1,low_ocr_confidence；major_text_embeds_other_school_marker,OCR置信度低；专业名称疑似串入下一院校,7,2,2,0,2,0,0,0,0,0,0,,是,专项/预科/定向等特殊类型,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,A007,北京理工大学,A00704,04,A00704/北京理工大学第04 组,12,left,69,10,10,是,否,1,10,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常7条；中严重度结构异常4条；字段完整性/纯数字问题30项；异常学费7项；命中当前偏好专业方向；命中风险标签,plan_count_not_plain_number;tuition_not_plain_number,11,7,4,low_ocr_confidence；major_code_not_two_chars；major_text_embeds_page_header；tuition_number_le_500,OCR置信度低；专业代号疑似漏位或误识别；专业名称疑似串入页眉或栏目文字；学费数字疑似吞入计划数或截断,30,8,10,0,10,0,0,7,0,7,6,计算机类相关,是,医学/护理等排除方向,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,A007,北京理工大学,A00705,05,A00705 北京理工大学第05组,12,right,187,2,2,是,否,1,2,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常2条；字段完整性/纯数字问题5项；异常学费2项；命中风险标签,missing_plan_count_candidate;tuition_not_plain_number,2,2,0,tuition_number_le_500,学费数字疑似吞入计划数或截断,5,1,2,0,2,0,0,2,0,2,0,,是,中外合作或高收费,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,A007,北京理工大学,A00706,06,「A00706/北京理工大学第06组,12,right,192,3,3,是,否,1,3,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常2条；中严重度结构异常1条；字段完整性/纯数字问题8项；异常学费2项；命中风险标签,plan_count_not_plain_number;tuition_not_plain_number;tuition_over_15000,3,2,1,major_text_embeds_page_header；tuition_number_le_500,专业名称疑似串入页眉或栏目文字；学费数字疑似吞入计划数或截断,8,2,3,0,3,0,0,2,1,2,0,,是,中外合作或高收费；学费超过当前上限,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,full_quality_tier_ocr_draft,false,needs_manual_pdf_review,A007,北京理工大学,A00707,07,A00707|北京理工大学第 07 组,13,left,6,3,3,是,否,1,3,0,Q1-高风险结构异常,P0-必须优先核页,P0-必须优先核页,高严重度结构异常2条；中严重度结构异常1条；字段完整性/纯数字问题5项；命中风险标签,plan_count_not_plain_number,3,2,1,low_ocr_confidence；major_text_embeds_other_school_marker；plan_count_number_ge_1000,OCR置信度低；专业名称疑似串入下一院校；专业计划数疑似吞入学费或备注,5,2,0,1,0,1,1,0,0,0,0,,是,医学/护理等排除方向；专项/预科/定向等特殊类型,否,否,按复核优先级回看第19期原PDF页；修正结构异常和字段问题后才能进入候选升级闸门
