来源期号,来源PDF_SHA256,数据阶段,最终可用,PDF页码,页码范围角色,私有页图证据编号,私有页图SHA256,私有页图大小字节,私有OCR文本证据编号,私有OCR文本SHA256,OCR引擎,识别语言,OCR识别行数,OCR平均置信度,OCR错误,OCR行类型分布,OCR栏位分布,OCR_QC_P0数,OCR_QC_P1数,疑似招生计划行数,结构化状态,结构化院校数,结构化专业组数,结构化专业明细数,结构异常数,高严重结构异常数,候选V2字段任务数,候选V2字段P0任务数,底座页级复核优先级,底座页级审计状态,核验状态,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,11,招生计划明细页,page-011,deeeb2a0bc2bae5fa894151107ba4c95937fe6879d77a513591b78d0805b796e,4412221,011_page-011,7d03cefe1169603ae92fa547b69066666e2459f958568ec748a53822edfaf5d3,apple_vision,"zh-Hans,en-US",254,0.7193,,major_or_numbered_line:71；page_header:2；school:10；table_header:2；text:169,left:137；right:117,57,85,10,结构化招生计划页,2,9,29,2,2,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,12,招生计划明细页,page-012,5969cef2d3e6c63a2726d5e15f38dcb35a54da11033a43b6e3688d3a12db3345,4169350,012_page-012,a30189079ee58d03e47d96262a20d27986fc56126fe8cc029a6843cd6e0a4042,apple_vision,"zh-Hans,en-US",231,0.7139,,major_or_numbered_line:57；page_header:2；school:6；table_header:2；text:164,left:124；outside:1；right:106,58,69,9,结构化招生计划页,2,6,24,20,13,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,13,招生计划明细页,page-013,8bbcadfd223ab0799c308ff1c04cd8920d72e4f4ddfc7ba7e9e2da597edaffb9,4475774,013_page-013,85b2e8efa42f947a142d0e421ed0aec34bcd42b97e39e2b3734904aa11bf2699,apple_vision,"zh-Hans,en-US",238,0.6983,,major_or_numbered_line:66；page_header:2；school:11；table_header:2；text:157,left:130；right:108,73,64,12,结构化招生计划页,3,9,31,17,11,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,14,招生计划明细页,page-014,2eefb744e7de8cc887bc3babf0224d92281686d772c1673e2ab00f260320dca7,4204336,014_page-014,59a529e98c7ab5d0161f5a067b75aaab3d244ece7cbcc58dfff9089f04fe5a14,apple_vision,"zh-Hans,en-US",249,0.6924,,major_or_numbered_line:81；page_header:2；school:10；table_header:2；text:154,left:132；outside:1；right:116,106,55,17,结构化招生计划页,2,8,33,31,26,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,15,招生计划明细页,page-015,d83fea392592b1598633a90326a5ee6219afa877d6e5cb206b8f86c8469d422b,4626149,015_page-015,fe7db32ab4867a31f5884918c86233167abc707913db8f17ea924caff458070f,apple_vision,"zh-Hans,en-US",249,0.6659,,major_or_numbered_line:75；page_header:2；school:5；table_header:2；text:165,left:132；right:117,48,106,13,结构化招生计划页,2,5,37,13,7,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,16,招生计划明细页,page-016,6a17cdf9d4e67e3462b1245766bd51590966a488f63b539566f4adcfd76db247,4285899,016_page-016,cb398fc75b5e03f7394562b22ae3d150bca178b0e214011baf11a016da30df7d,apple_vision,"zh-Hans,en-US",264,0.6955,,major_or_numbered_line:92；page_header:2；school:18；table_header:2；text:150,left:154；outside:1；right:109,108,55,21,结构化招生计划页,3,15,42,19,8,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,17,招生计划明细页,page-017,c853121e7a99cb28609cd82022a2eb799652434964e73212b8ad541ef187de61,4319894,017_page-017,90c74c3dafb62f9f212f7a3968830b625546a6dac3ef3a549f8de4c9937191fe,apple_vision,"zh-Hans,en-US",277,0.6996,,major_or_numbered_line:117；page_header:2；school:14；table_header:2；text:142,left:139；right:138,88,69,9,结构化招生计划页,4,11,52,14,6,16,8,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,18,招生计划明细页,page-018,2e91f8dd3ddf578f1c137e511205ccfa4349e914cc6897563e39219ad2331f1c,4126814,018_page-018,14f4ea716ab5b84c083b7b1a282fd39062c23426ccdcbc8b72b3b5d3f0d27279,apple_vision,"zh-Hans,en-US",254,0.6953,,major_or_numbered_line:93；page_header:2；school:20；table_header:2；text:137,left:150；outside:1；right:103,61,89,18,结构化招生计划页,4,17,41,22,20,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,19,招生计划明细页,page-019,7541910ef581f7f3e1369d5ac1e2b89c0e91a729614915e8be700288d965c4b3,4294071,019_page-019,c5238d45f3b99248726a2036cfef38959d1327066c50306ecc02eda6b0eb5baf,apple_vision,"zh-Hans,en-US",214,0.6925,,major_or_numbered_line:92；page_header:2；school:16；table_header:2；text:102,left:110；right:104,56,71,13,结构化招生计划页,5,16,48,10,6,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,20,招生计划明细页,page-020,7558c913168622fd0ffd79d0b83e44f882d59bb8e6dff812f5ac2f6d464528b5,4022351,020_page-020,ac4c67393558a8f70f8f2a1fd9a3630ad3a59dcca56785d2003b5f6109c4b366,apple_vision,"zh-Hans,en-US",237,0.6709,,major_or_numbered_line:75；page_header:2；school:5；table_header:2；text:153,left:128；outside:1；right:108,42,104,14,结构化招生计划页,3,3,30,16,14,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,21,招生计划明细页,page-021,54ace356b0ffaa15b0e1b1bb069f0400455f1deaae0f81e81dbf84ce81f0bdd4,4241950,021_page-021,f5e0366ecbf571585af0c1e5eb5bb9f05bb99b6fa331940f6265533158ed25b4,apple_vision,"zh-Hans,en-US",264,0.6985,,major_or_numbered_line:126；page_header:2；school:12；table_header:2；text:122,left:136；right:128,75,70,25,结构化招生计划页,4,10,55,8,5,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,22,招生计划明细页,page-022,60ce04cb6205a4e37063568d5dc2d46c529137dbcae9941f14e3559a1ac3f560,4187830,022_page-022,3c956b64fbac8195462d9bb2f67e453097c9a7b715a1d7f97e7e5ffce4e27a6f,apple_vision,"zh-Hans,en-US",252,0.7286,,major_or_numbered_line:93；page_header:1；school:7；table_header:2；text:149,left:136；outside:1；right:115,77,83,18,结构化招生计划页,3,6,42,23,18,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,23,招生计划明细页,page-023,1f5622b697b4c0a1fa2c8d56049ae4127722d02df64fb0adf48ac14435696268,4267302,023_page-023,c42197e5a0ce2ec3bf44a8cb1189943558709229b3d40d18f99a8fcfce79c65c,apple_vision,"zh-Hans,en-US",272,0.7015,,major_or_numbered_line:116；page_header:2；school:15；table_header:2；text:137,left:143；right:129,68,83,11,结构化招生计划页,2,15,51,7,1,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_public_page_manifest,false,24,招生计划明细页,page-024,8fe0cfc3cb4cf971815cfeac0f548ca31d5c7169b0d76082621187b92047b46c,4134338,024_page-024,1f6b2e75207f01118b21e4332127afea8c558cecf7c2cfde68bafdb757709519,apple_vision,"zh-Hans,en-US",254,0.7213,,major_or_numbered_line:73；page_header:2；school:14；table_header:2；text:163,left:135；outside:1；right:118,66,73,13,结构化招生计划页,3,12,31,15,12,0,0,P0-优先核页,有结构化记录待核页,needs_manual_pdf_review,如该页进入候选或存在异常，回看私有PDF页图和OCR文本；字段值必须再核湖北官方系统和高校章程。
